$p SceLibKernel
*SceKernelStackChkGuard 0x4458BCF3
*__sce_aeabi_idiv0 0x4373B548
*__sce_aeabi_ldiv0 0xFB235848
*__stack_chk_fail 0x37691BF8
*__stack_chk_guard 0x93B8AA67
*_sceKernelCreateLwMutex 0xB84EF718
*sceClibAbort 0x2F2C6046
*sceClibDprintf 0x4340EF77
*sceClibLookCtypeTable 0xD8EBBB7E
*sceClibMemchr 0x407D6153
*sceClibMemcmp 0x9CC2BFDF
*sceClibMemcmpConstTime 0x100091AF
*sceClibMemcpy 0x14E9DBD7
*sceClibMemcpyChk 0x1F94EF45
*sceClibMemcpy_safe 0x2E3B02A1
*sceClibMemmove 0x736753C8
*sceClibMemmoveChk 0xA18068FC
*sceClibMemset 0x632980D7
*sceClibMemsetChk 0xD19B6DC5
*sceClibMspaceCalloc 0x678374AD
*sceClibMspaceCreate 0x3B9E301A
*sceClibMspaceDestroy 0xAE1A21EC
*sceClibMspaceFree 0x9C56B4D1
*sceClibMspaceIsHeapEmpty 0xD1D59701
*sceClibMspaceMalloc 0x86EF7680
*sceClibMspaceMallocStats 0x8CC1D38E
*sceClibMspaceMallocStatsFast 0x738E0322
*sceClibMspaceMallocUsableSize 0x46A02279
*sceClibMspaceMemalign 0x3C847D57
*sceClibMspaceRealloc 0x774891D6
*sceClibMspaceReallocalign 0x586AC68D
*sceClibPrintf 0xFA26BC62
*sceClibSnprintf 0x8CBA03D5
*sceClibSnprintfChk 0xC2E1A945
*sceClibStrcatChk 0xF28A495
*sceClibStrchr 0x614076B7
*sceClibStrcmp 0xA2FB4D9D
*sceClibStrcpyChk 0xB9B6B05A
*sceClibStrlcat 0x70CBC2D5
*sceClibStrlcatChk 0x4CCB60A9
*sceClibStrlcpy 0x2CDFCD1C
*sceClibStrlcpyChk 0xAC6CF5DB
*sceClibStrncasecmp 0xB54C0BE4
*sceClibStrncat 0xA37E6383
*sceClibStrncatChk 0x489EBEDF
*sceClibStrncmp 0x660D1F6D
*sceClibStrncpy 0xC458D60A
*sceClibStrncpyChk 0x9CBE1475
*sceClibStrnlen 0xAC595E68
*sceClibStrrchr 0x6E728AAE
*sceClibStrstr 0xE265498B
*sceClibStrtoll 0x2E581B88
*sceClibTolower 0x4C5471BC
*sceClibToupper 0xB0335388
*sceClibVdprintf 0xABC6893C
*sceClibVprintf 0x5EA3B6CE
*sceClibVsnprintf 0xFA6BE467
*sceClibVsnprintfChk 0xB628786B
*sceIoChstat 0x29482F7F
*sceIoChstatByFd 0x6E903AB2
*sceIoDevctl 0x4B30CB2
